Over,Batter Runs,Cumulative Runs,Extra_Runs,Total_Runs,Bowler_ID,Striker_ID,Venue_ID,Team_ID
2.4,4,19,0,4,98,261,2,4
2.5,4,23,0,4,98,261,2,4
2.6,1,24,0,1,98,261,2,4
3.1,1,25,0,1,253,261,2,4
3.2,1,26,0,1,253,265,2,4
3.3,0,26,0,0,253,261,2,4
3.4,1,27,0,1,253,261,2,4
3.5,4,31,0,4,253,265,2,4
3.6,4,35,0,4,253,265,2,4
4.1,1,36,0,1,236,261,2,4
4.2,0,36,0,0,236,265,2,4
4.3,0,36,0,0,236,265,2,4
4.4,1,37,0,1,236,265,2,4
4.5,4,41,0,4,236,261,2,4
4.6,6,47,0,6,236,261,2,4
5.1,0,47,0,0,98,265,2,4
5.2,0,48,1,1,98,265,2,4
5.3,4,52,0,4,98,261,2,4
5.4,2,54,0,2,98,261,2,4
5.5,1,55,0,1,98,261,2,4
5.6,6,61,0,6,98,265,2,4
6.1,0,62,1,1,131,261,2,4
6.2,1,63,0,1,131,265,2,4
6.3,4,67,0,4,131,261,2,4
6.4,0,67,0,0,131,261,2,4
6.5,0,67,0,0,131,261,2,4
6.6,2,69,0,2,131,261,2,4
7.1,4,73,0,4,177,265,2,4
7.2,6,79,0,6,177,265,2,4
7.3,1,80,0,1,177,265,2,4
7.4,1,81,0,1,177,261,2,4
7.5,0,81,0,0,177,265,2,4
7.6,1,82,0,1,177,265,2,4
8.1,1,83,0,1,131,265,2,4
8.2,6,89,0,6,131,261,2,4
8.3,0,91,2,2,131,261,2,4
8.4,1,92,0,1,131,261,2,4
8.5,4,96,0,4,131,265,2,4
8.6,1,97,0,1,131,265,2,4
9.1,0,97,0,0,253,265,2,4
9.2,1,98,0,1,253,125,2,4
9.3,0,98,0,0,253,261,2,4
9.4,0,98,0,0,253,261,2,4
9.5,1,99,0,1,253,261,2,4
9.6,0,99,0,0,253,125,2,4
10.1,1,100,0,1,131,261,2,4
10.2,1,101,0,1,131,125,2,4
10.3,0,101,0,0,131,261,2,4
10.4,2,103,0,2,131,261,2,4
10.5,6,109,0,6,131,261,2,4
10.6,0,109,0,0,131,261,2,4
11.1,0,110,1,1,119,125,2,4
