Index,Over,Runs_on_that_bowl,Bowler_ID,Striker_ID,Venue_ID,Team_ID,Strike_Rate,Runs_on_previous_ball,Avg_Extra_Runs_Last_5,Avg_Extra_Runs_Last_4,Avg_Extra_Runs_Last_3,Avg_Total_Runs_Last_3,Avg_Total_Runs_Last_4,Avg_Total_Runs_Last_5
15413,8.4,0,167,199,0,5,0.666666667,1,0,0,0,1.67,1.5,1.4
15414,8.5,2,167,199,0,5,0.666666667,0,0,0,0,1.67,1.25,1.2
15415,8.6,1,167,199,0,5,0.666666667,2,0,0,0,1,1.75,1.4
15416,9.1,6,46,199,0,5,1.571428571,1,0,0,0,1,1,1.6
15417,9.2,0,46,199,0,5,1.571428571,6,0,0,0,3,2.25,2
15418,9.3,0,46,199,0,5,1.571428571,0,0,0,0,2.33,2.25,1.8
15419,9.4,1,46,199,0,5,1.571428571,0,0,0,0,2,1.75,1.8
15420,9.5,1,46,100,0,5,1,1,0,0,0,0.33,1.75,1.6
15421,9.6,4,46,199,0,5,1.571428571,1,0,0,0,0.67,0.5,1.6
15422,10.1,0,167,100,0,5,1,4,0,0,0,2,1.5,1.2
15423,10.2,6,167,109,0,5,3.25,0,0,0,0,1.67,1.5,1.2
15424,10.3,6,167,109,0,5,3.25,6,0,0,0,3.33,2.75,2.4
15425,10.4,1,167,109,0,5,3.25,6,0,0,0,4,4,3.4
15426,10.5,1,167,109,0,5,3.25,1,0.2,0.25,0.33,4.33,3.25,3.4
15427,10.6,0,167,199,0,5,0.666666667,1,0.2,0.25,0.33,2.67,3.5,2.8
15428,10.7,1,167,199,0,5,0.666666667,0,0.2,0.25,0.33,0.67,2,2.8
15429,11.1,1,122,199,0,5,1.555555556,1,0.2,0.25,0,0.67,0.75,1.8
15430,11.2,1,122,109,0,5,1.2,1,0.2,0,0,0.67,0.75,0.8
15431,11.3,1,122,199,0,5,1.555555556,1,0,0,0,1,0.75,0.8
15432,11.4,1,122,109,0,5,1.2,1,0,0,0,1,1,0.8
15433,11.5,1,122,109,0,5,1.2,1,0.2,0.25,0.33,1,1,1
